Mã KH,LSX,PI,Mô tả Sản Phẩm,LOẠI ĐÁ,Kích thước ,L,L2,W,W2,H,H2,CÁCH GIA CÔNG,KHU VỰC,ỨNG DỤNG,Đơn giá,usd_pc,usd_m2,usd_m3,usd_ton,Pcs
,,,,,,,0.0,,0.0,,0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
X21.2,070325 (05/A-X21.2/25),05/A-X21.2/25 (OTR-1463),"BAZAN ĐEN, Đá lát-Mặt đốt xịt nước, các cạnh cưa vạt mép ",BAZAN ĐEN ,60403,60,0.0,40.0,0.0,3.0,0.0,ĐỐT XỊT ,2.0,TILE,,6.288,26.2,873.3333333,329.5597484,102.0
X21.2,070325 (05/A-X21.2/25),05/A-X21.2/25 (OTR-1463),"BAZAN ĐEN, Đá bậc thang- Các mặt đốt xịt nước, chải và vạt mép ",BAZAN ĐEN ,503515,50,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,BLOCK_STEP,,22.31,127.4857143,849.9047619,288.1033091,10.0
X21.2,070325 (05/A-X21.2/25),05/A-X21.2/25 (OTR-1463),"BAZAN ĐEN, Đá bậc thang- Các mặt đốt xịt nước, chải và vạt mép ",BAZAN ĐEN ,753515,75,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,BLOCK_STEP,,34.67,132.0761905,880.5079365,298.4772666,10.0
X21.2,070325 (05/A-X21.2/25),05/A-X21.2/25 (OTR-1463),"BAZAN ĐEN, Đá bậc thang- Các mặt đốt xịt nước, chải và vạt mép ",BAZAN ĐEN ,1003515,100,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,BLOCK_STEP,,50.4,144,960,325.4237288,24.0
X21.2,070325 (05/A-X21.2/25),05/A-X21.2/25 (OTR-1463),"BAZAN ĐEN, Đá bậc thang- Các mặt đốt xịt nước, chải và vạt mép ",BAZAN ĐEN ,1503515,150,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,BLOCK_STEP,,78.75,150,1000,338.9830508,24.0
X21.2,Draft (04/A-X21.2/25),04/A-X21.2/25,"BBAZAN ĐEN, Đá nắp tường rào- Mặt đốt xịt, chải và vạt mép trên 3mm, mép dưới 1mm với 2 rãnh thoát nước dọc theo 2 cạnh dài khoảng cách 1,5cm ",BAZAN ĐEN ,75404,75,0.0,40.0,0.0,4.0,0.0,ĐỐT XỊT ,2.0,WALL_COVERING,,17.4,58,1450,491.5254237,
X21.2,060225 (03/A-X21.2/25),03/A-X21.2/25 (PO 2025-OTR-1462),"BAZAN ĐEN, Đá lát- Mặt đốt xịt nước, vạt mép ",BAZAN ĐEN ,60403,60,0.0,40.0,0.0,3.0,0.0,ĐỐT XỊT ,2.0,TILE,,6.288,26.2,873.3333333,296.0451977,204.0
X21.2,060225 (03/A-X21.2/25),03/A-X21.2/25 (PO 2025-OTR-1462),"BAZAN ĐEN, Đá cây- Mặt đốt xịt nước, chải và vạt mép ",BAZAN ĐEN ,125258,125,0.0,25.0,0.0,8.0,0.0,ĐỐT XỊT ,2.0,PALISADE,,25.5,81.6,1020,345.7627119,36.0
X21.2,060225 (03/A-X21.2/25),03/A-X21.2/25 (PO 2025-OTR-1462),"BAZAN ĐEN, Đá bậc thang- Mặt đốt xịt nước và vạt mép ",BAZAN ĐEN ,503515,50,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,BLOCK_STEP,,22.31,127.4857143,849.9047619,288.1033091,20.0
X21.2,060225 (03/A-X21.2/25),03/A-X21.2/25 (PO 2025-OTR-1462),"BAZAN ĐEN, Đá bậc thang- Mặt đốt xịt nước và vạt mép ",BAZAN ĐEN ,753515,75,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,BLOCK_STEP,,34.69,132.152381,881.015873,298.6494485,10.0
X21.2,060225 (03/A-X21.2/25),03/A-X21.2/25 (PO 2025-OTR-1462),"BAZAN ĐEN, Đá bậc thang- Mặt đốt xịt nước và vạt mép ",BAZAN ĐEN ,1003515,100,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,BLOCK_STEP,,50.4,144,960,325.4237288,24.0
X21.2,060225 (03/A-X21.2/25),03/A-X21.2/25 (PO 2025-OTR-1462),"BAZAN ĐEN, Đá bậc thang- Mặt đốt xịt nước và vạt mép ",BAZAN ĐEN ,1253515,125,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,BLOCK_STEP,,63.98,146.24,974.9333333,330.4858757,30.0
X21.2,060225 (03/A-X21.2/25),03/A-X21.2/25 (PO 2025-OTR-1462),"BAZAN ĐEN, Đá bậc thang- Mặt đốt xịt nước và vạt mép ",BAZAN ĐEN ,1503515,150,0.0,35.0,0.0,15.0,0.0,ĐỐT XỊT ,2.0,BLOCK_STEP,,78.75,150,1000,338.9830508,36.0
